Absolute Time Status	N/A			
          3.554292506e-01	          3.163343440e-04			
          3.564058131e-01	         -1.236579708e-03			
          3.573823756e-01	          8.195935276e-04			
          3.583589381e-01	         -3.954179300e-04			
          3.593355006e-01	         -8.267829445e-04			
          3.603120631e-01	          1.272526793e-03			
          3.612886256e-01	          1.236579708e-03			
          3.622651881e-01	         -5.392062682e-04			
          3.632417506e-01	          2.228719242e-04			
          3.642183131e-01	          1.854869562e-03			
          3.651948756e-01	          2.473159417e-03			
          3.661714381e-01	          1.646376472e-03			
          3.671480006e-01	         -9.346241981e-05			
          3.681245631e-01	         -1.639187055e-03			
          3.691011256e-01	         -1.797354227e-03			
          3.700776881e-01	         -2.616947755e-03			
          3.710542506e-01	         -2.156825073e-03			
          3.720308131e-01	         -2.897335014e-03			
          3.730073756e-01	         -2.128067405e-03			
          3.739839381e-01	         -1.236579708e-03			
          3.749605006e-01	          1.179064373e-03			
          3.759370631e-01	          3.343078863e-03			
          3.769136256e-01	          1.955521399e-03			
          3.778901881e-01	          2.976418600e-03			
          3.788667506e-01	          2.602568921e-03			
          3.798433131e-01	          3.019555102e-03			
          3.808198756e-01	          2.228719242e-04			
          3.817964381e-01	         -7.764570262e-04			
          3.827730006e-01	         -1.229390291e-03			
          3.837495631e-01	         -1.430693965e-03			
          3.847261256e-01	         -2.106499154e-03			
          3.857026881e-01	         -2.084930904e-04			
          3.866792506e-01	         -9.921395334e-04			
          3.876558131e-01	          1.179064373e-03			
          3.886323756e-01	         -4.385544314e-03			
          3.896089381e-01	          2.926092682e-02			
          3.905855006e-01	          4.752204577e-03			
          3.915620631e-01	          2.308521769e-02			
          3.925386256e-01	         -6.750862477e-03			
          3.935151881e-01	         -8.152798775e-03			
          3.944917506e-01	         -1.388276405e-02			
          3.954683131e-01	         -6.523676903e-02			
          3.964448756e-01	         -2.644986481e-02			
          3.974214381e-01	         -1.020465836e-01			
          3.983980006e-01	         -3.630655539e-02			
          3.993745631e-01	         -8.234039186e-02			
          4.003511256e-01	         -2.120877988e-02			
          4.013276881e-01	          8.188745859e-03			
          4.023042506e-01	         -1.518404851e-02			
          4.032808131e-01	          1.383171919e-01			
          4.042573756e-01	          2.489695076e-02			
          4.052339381e-01	          2.507452935e-01			
          4.062105006e-01	          7.532352095e-02			
          4.071870631e-01	          2.776121445e-01			
          4.081636256e-01	          1.039661579e-01			
          4.091401881e-01	          1.563770072e-01			
          4.101167506e-01	          7.468366285e-02			
          4.110933131e-01	         -1.442556503e-01			
          4.120698756e-01	         -1.639905997e-01			
          4.130464381e-01	         -4.855732180e-01			
          4.140230006e-01	         -4.099621204e-01			
          4.149995631e-01	         -4.802530495e-01			
          4.159761256e-01	         -2.293136417e-01			
          4.169526881e-01	         -2.432898682e-02			
          4.179292506e-01	          1.634585828e-01			
          4.189058131e-01	          4.716545069e-01			
          4.198823756e-01	          6.951950468e-01			
          4.208589381e-01	          8.019363197e-01			
          4.218355006e-01	          6.183329907e-01			
          4.228120631e-01	          3.990557749e-01			
